isced11;Country;Year;value
ED0-2;CY00;2009;31.2
ED0-2;CY00;2010;29.6
ED0-2;CY00;2011;28.3
ED0-2;CY00;2012;26.4
ED0-2;CY00;2013;25.4
ED0-2;CY00;2014;26.1
ED0-2;CY00;2015;25.5
ED0-2;CY00;2016;24
ED0-2;CY00;2017;22.9
ED0-2;CY00;2018;21.9
ED0-2;CY00;2019;21.5
ED0-2;CZ;2005;16.8
ED0-2;CZ;2006;16.4
ED0-2;CZ;2007;16.2
ED0-2;CZ;2008;15.8
ED0-2;CZ;2009;15.2
ED0-2;CZ;2010;14.4
ED0-2;CZ;2011;13.9
ED0-2;CZ;2012;13.4
ED0-2;CZ;2013;12.9
ED0-2;CZ;2014;12.4
ED0-2;CZ;2015;12.4
ED0-2;CZ;2016;12.4
ED0-2;CZ;2017;12.1
ED0-2;CZ;2018;12.1
ED0-2;CZ;2019;12.3
ED0-2;CZ0;2005;16.8
ED0-2;CZ0;2006;16.4
ED0-2;CZ0;2007;16.2
ED0-2;CZ0;2008;15.8
ED0-2;CZ0;2009;15.2
ED0-2;CZ0;2010;14.4
ED0-2;CZ0;2011;13.9
ED0-2;CZ0;2012;13.4
ED0-2;CZ0;2013;12.9
ED0-2;CZ0;2014;12.4
ED0-2;CZ0;2015;12.4
ED0-2;CZ0;2016;12.4
ED0-2;CZ0;2017;12.1
ED0-2;CZ0;2018;12.1
ED0-2;CZ0;2019;12.3
ED0-2;CZ01;2005;11.6
ED0-2;CZ01;2006;11.1
ED0-2;CZ01;2007;10.3
ED0-2;CZ01;2008;10.4
ED0-2;CZ01;2009;10
ED0-2;CZ01;2010;8.6
ED0-2;CZ01;2011;8.5
ED0-2;CZ01;2012;8.4
ED0-2;CZ01;2013;7.7
ED0-2;CZ01;2014;7.1
ED0-2;CZ01;2015;7.8
ED0-2;CZ01;2016;7.7
ED0-2;CZ01;2017;7.2
ED0-2;CZ01;2018;7.8
ED0-2;CZ01;2019;7.6
ED0-2;CZ02;2005;16.9
ED0-2;CZ02;2006;16.5
ED0-2;CZ02;2007;16
ED0-2;CZ02;2008;15.4
ED0-2;CZ02;2009;14.3
ED0-2;CZ02;2010;13.7
ED0-2;CZ02;2011;13
ED0-2;CZ02;2012;12.5
ED0-2;CZ02;2013;12
ED0-2;CZ02;2014;11.5
ED0-2;CZ02;2015;11
ED0-2;CZ02;2016;11.5
ED0-2;CZ02;2017;11
ED0-2;CZ02;2018;11.2
ED0-2;CZ02;2019;11.1
ED0-2;CZ03;2005;16.7
ED0-2;CZ03;2006;16.8
ED0-2;CZ03;2007;15.4
ED0-2;CZ03;2008;15.1
ED0-2;CZ03;2009;15
ED0-2;CZ03;2010;13.8
ED0-2;CZ03;2011;13.4
ED0-2;CZ03;2012;12.8
ED0-2;CZ03;2013;12.1
ED0-2;CZ03;2014;12
ED0-2;CZ03;2015;12.5
ED0-2;CZ03;2016;12.3
ED0-2;CZ03;2017;11.9
ED0-2;CZ03;2018;12
ED0-2;CZ03;2019;12.4
ED0-2;CZ04;2005;21.6
ED0-2;CZ04;2006;21.5
ED0-2;CZ04;2007;21.9
ED0-2;CZ04;2008;22
ED0-2;CZ04;2009;22.1
ED0-2;CZ04;2010;21.1
ED0-2;CZ04;2011;19.6
ED0-2;CZ04;2012;19.7
ED0-2;CZ04;2013;18.8
ED0-2;CZ04;2014;18.2
ED0-2;CZ04;2015;18.9
ED0-2;CZ04;2016;18.9
ED0-2;CZ04;2017;18.7
ED0-2;CZ04;2018;19.1
ED0-2;CZ04;2019;19.6
ED0-2;CZ05;2005;16.4
ED0-2;CZ05;2006;16.5
ED0-2;CZ05;2007;16.2
ED0-2;CZ05;2008;15.8
ED0-2;CZ05;2009;15.2
ED0-2;CZ05;2010;14.3
ED0-2;CZ05;2011;14.7
ED0-2;CZ05;2012;14.4
ED0-2;CZ05;2013;13.2
ED0-2;CZ05;2014;12.7
ED0-2;CZ05;2015;13.1
ED0-2;CZ05;2016;13.3
ED0-2;CZ05;2017;13
ED0-2;CZ05;2018;12.8
ED0-2;CZ05;2019;12.6
ED0-2;CZ06;2005;16.7
ED0-2;CZ06;2006;15.5
ED0-2;CZ06;2007;15.6
ED0-2;CZ06;2008;14.8
ED0-2;CZ06;2009;14.2
ED0-2;CZ06;2010;13.6
ED0-2;CZ06;2011;12.7
