Year;Country;Genre;ISCED11;Percentage;Employment Rate
2013;FI;M;ED0-2;23;74.7
2013;FR;F;ED0-2;28.4;64.9
2013;FR;M;ED0-2;27.6;73.2
2013;HR;F;ED0-2;24.8;52.8
2013;HR;M;ED0-2;20;61.6
2013;HU;F;ED0-2;24.3;56.9
2013;HU;M;ED0-2;21.2;69.3
2013;IE;F;ED0-2;23.9;61.3
2013;IE;M;ED0-2;29.4;71.8
2013;IT;F;ED0-2;41.6;49.9
2013;IT;M;ED0-2;45.2;69.7
2013;LT;F;ED0-2;12.8;68.6
2013;LT;M;ED0-2;16.1;71.2
2013;LU;F;ED0-2;26.7;63.9
2013;LU;M;ED0-2;25.7;78
2013;LV;F;ED0-2;13;67.7
2013;LV;M;ED0-2;20.5;71.9
2013;MT;F;ED0-2;54.4;51.7
2013;MT;M;ED0-2;54.3;80.3
2013;NL;F;ED0-2;29.5;70.6
2013;NL;M;ED0-2;28.6;81.1
2013;PL;F;ED0-2;15.4;57.6
2013;PL;M;ED0-2;16.8;72.1
2013;PT;F;ED0-2;55.3;62.3
2013;PT;M;ED0-2;63.7;68.7
2013;RO;F;ED0-2;31.7;56.5
2013;RO;M;ED0-2;26.1;72.8
2013;SE;F;ED0-2;22;77.2
2013;SE;M;ED0-2;23.8;82.2
2013;SI;F;ED0-2;19.1;63
2013;SI;M;ED0-2;17.9;71.2
2013;SK;F;ED0-2;16;57.8
2013;SK;M;ED0-2;13.5;72.2
2014;AT;F;ED0-2;23.2;70.1
2014;AT;M;ED0-2;17.3;78.3
2014;BE;F;ED0-2;28.1;62.9
2014;BE;M;ED0-2;30.9;71.6
2014;BG;F;ED0-2;22;62
2014;BG;M;ED0-2;23.2;68.1
2014;CY;F;ED0-2;25.3;63.9
2014;CY;M;ED0-2;26.9;71.6
2014;CZ;F;ED0-2;13.9;64.7
2014;CZ;M;ED0-2;10.9;82.2
2014;DE;F;ED0-2;20.8;73.1
2014;DE;M;ED0-2;18.6;82.2
2014;DK;F;ED0-2;27;71
2014;DK;M;ED0-2;30.4;78.4
2014;EE;F;ED0-2;13.3;70.6
2014;EE;M;ED0-2;22.2;78.3
2014;EL;F;ED0-2;31.6;44.3
2014;EL;M;ED0-2;34.7;62.6
2014;ES;F;ED0-2;42.3;54.8
2014;ES;M;ED0-2;46.6;65
2014;FI;F;ED0-2;17.6;72.1
2014;FI;M;ED0-2;22.6;74
2014;FR;F;ED0-2;27;65.6
2014;FR;M;ED0-2;26;73.1
2014;HR;F;ED0-2;23.4;54.2
2014;HR;M;ED0-2;18.6;64.2
2014;HU;F;ED0-2;23.2;60.2
2014;HU;M;ED0-2;20.8;73.5
2014;IE;F;ED0-2;21.2;62.3
2014;IE;M;ED0-2;26.7;74.1
2014;IT;F;ED0-2;40.5;50.3
2014;IT;M;ED0-2;44.2;69.7
2014;LT;F;ED0-2;12.5;70.6
2014;LT;M;ED0-2;16.1;73.1
2014;LU;F;ED0-2;26.6;65.5
2014;LU;M;ED0-2;23.1;78.4
2014;LV;F;ED0-2;12.6;68.5
2014;LV;M;ED0-2;20;73.1
2014;MT;F;ED0-2;52.1;54.3
2014;MT;M;ED0-2;52.3;81.1
2014;NL;F;ED0-2;29.2;69.7
2014;NL;M;ED0-2;28.5;81.1
2014;PL;F;ED0-2;14.9;59.4
2014;PL;M;ED0-2;16.2;73.6
2014;PT;F;ED0-2;52.2;64.2
2014;PT;M;ED0-2;60.7;71.3
2014;RO;F;ED0-2;33.3;57.3
2014;RO;M;ED0-2;29.1;74
2014;SE;F;ED0-2;21.1;77.6
2014;SE;M;ED0-2;23.2;82.2
2014;SI;F;ED0-2;19.5;63.6
2014;SI;M;ED0-2;17.4;71.6
2014;SK;F;ED0-2;16.3;58.6
2014;SK;M;ED0-2;14.1;73.2
2015;AT;F;ED0-2;22.5;70.2
2015;AT;M;ED0-2;16.6;78.4
2015;BE;F;ED0-2;27.3;63
2015;BE;M;ED0-2;30;71.3
2015;BG;F;ED0-2;21.5;63.8
2015;BG;M;ED0-2;22.9;70.4
2015;CY;F;ED0-2;24.8;64
