Year;Country;Genre;ISCED11;Percentage
2015;SI;M;ED0-2;16.7
2015;SI;M;ED3_4;62.1
2015;SI;M;ED5_8;21.3
2015;SI;F;ED0-2;18.3
2015;SI;F;ED3_4;49.5
2015;SI;F;ED5_8;32.3
2015;SK;M;ED0-2;13.6
2015;SK;M;ED3_4;70.2
2015;SK;M;ED5_8;16.3
2015;SK;F;ED0-2;15.6
2015;SK;F;ED3_4;62.9
2015;SK;F;ED5_8;21.5
2015;FI;M;ED0-2;21.5
2015;FI;M;ED3_4;48.6
2015;FI;M;ED5_8;29.8
2015;FI;F;ED0-2;16.8
2015;FI;F;ED3_4;41.9
2015;FI;F;ED5_8;41.3
2015;SE;M;ED0-2;22.8
2015;SE;M;ED3_4;49.2
2015;SE;M;ED5_8;28.1
2015;SE;F;ED0-2;20.4
2015;SE;F;ED3_4;39.5
2015;SE;F;ED5_8;40.1
2016;BE;M;ED0-2;29.3
2016;BE;M;ED3_4;40.8
2016;BE;M;ED5_8;30
2016;BE;F;ED0-2;27.1
2016;BE;F;ED3_4;36.4
2016;BE;F;ED5_8;36.5
2016;BG;M;ED0-2;22.5
2016;BG;M;ED3_4;58.5
2016;BG;M;ED5_8;19
2016;BG;F;ED0-2;21.3
2016;BG;F;ED3_4;48.8
2016;BG;F;ED5_8;29.9
2016;CZ;M;ED0-2;11.1
2016;CZ;M;ED3_4;69.4
2016;CZ;M;ED5_8;19.4
2016;CZ;F;ED0-2;13.6
2016;CZ;F;ED3_4;64.6
2016;CZ;F;ED5_8;21.8
2016;DK;M;ED0-2;29.1
2016;DK;M;ED3_4;43.9
2016;DK;M;ED5_8;27
2016;DK;F;ED0-2;25.5
2016;DK;F;ED3_4;39.5
2016;DK;F;ED5_8;34.9
2016;DE;M;ED0-2;19.1
2016;DE;M;ED3_4;54.1
2016;DE;M;ED5_8;26.8
2016;DE;F;ED0-2;20.6
2016;DE;F;ED3_4;57.4
2016;DE;F;ED5_8;22.1
2016;EE;M;ED0-2;20.4
2016;EE;M;ED3_4;54.2
2016;EE;M;ED5_8;25.4
2016;EE;F;ED0-2;13
2016;EE;F;ED3_4;44.4
2016;EE;F;ED5_8;42.6
2016;IE;M;ED0-2;25.8
2016;IE;M;ED3_4;38.8
2016;IE;M;ED5_8;35.3
2016;IE;F;ED0-2;20.2
2016;IE;F;ED3_4;36.3
2016;IE;F;ED5_8;43.5
2016;EL;M;ED0-2;31.4
2016;EL;M;ED3_4;43.9
2016;EL;M;ED5_8;24.7
2016;EL;F;ED0-2;28.7
2016;EL;F;ED3_4;43.1
2016;EL;F;ED5_8;28.2
2016;ES;M;ED0-2;45.5
2016;ES;M;ED3_4;24.6
2016;ES;M;ED5_8;30
2016;ES;F;ED0-2;39.7
2016;ES;F;ED3_4;24.9
2016;ES;F;ED5_8;35.4
2016;FR;M;ED0-2;25.4
2016;FR;M;ED3_4;46
2016;FR;M;ED5_8;28.6
2016;FR;F;ED0-2;25.4
2016;FR;F;ED3_4;41.3
2016;FR;F;ED5_8;33.2
2016;HR;M;ED0-2;18.3
2016;HR;M;ED3_4;64.3
2016;HR;M;ED5_8;17.4
2016;HR;F;ED0-2;22.9
2016;HR;F;ED3_4;54.6
2016;HR;F;ED5_8;22.6
2016;IT;M;ED0-2;43.7
2016;IT;M;ED3_4;42.9
2016;IT;M;ED5_8;13.4
2016;IT;F;ED0-2;39.5
2016;IT;F;ED3_4;42.6
2016;IT;F;ED5_8;17.9
2016;CY;M;ED0-2;25.4
2016;CY;M;ED3_4;42.3
2016;CY;M;ED5_8;32.3
2016;CY;F;ED0-2;22.8
2016;CY;F;ED3_4;34.7
2016;CY;F;ED5_8;42.5
2016;LV;M;ED0-2;17.9
2016;LV;M;ED3_4;61.2
2016;LV;M;ED5_8;21
2016;LV;F;ED0-2;12.2
2016;LV;F;ED3_4;50.4
2016;LV;F;ED5_8;37.5
2016;LT;M;ED0-2;14.5
2016;LT;M;ED3_4;58.7
2016;LT;M;ED5_8;26.7
2016;LT;F;ED0-2;10.5
2016;LT;F;ED3_4;48.6
2016;LT;F;ED5_8;41
2016;LU;M;ED0-2;27.7
2016;LU;M;ED3_4;35.8
2016;LU;M;ED5_8;36.5
2016;LU;F;ED0-2;28.7
2016;LU;F;ED3_4;35
2016;LU;F;ED5_8;36.4
2016;HU;M;ED0-2;20.6
2016;HU;M;ED3_4;62
2016;HU;M;ED5_8;17.5
2016;HU;F;ED0-2;23
2016;HU;F;ED3_4;53.4
2016;HU;F;ED5_8;23.6
2016;MT;M;ED0-2;49
2016;MT;M;ED3_4;31.9
2016;MT;M;ED5_8;19.1
2016;MT;F;ED0-2;46.6
2016;MT;F;ED3_4;31.6
2016;MT;F;ED5_8;21.7
2016;NL;M;ED0-2;28
2016;NL;M;ED3_4;41.4
2016;NL;M;ED5_8;30.6
2016;NL;F;ED0-2;27.9
2016;NL;F;ED3_4;40.7
2016;NL;F;ED5_8;31.4
2016;AT;M;ED0-2;17
2016;AT;M;ED3_4;54
2016;AT;M;ED5_8;28.9
2016;AT;F;ED0-2;22.1
2016;AT;F;ED3_4;48.9
2016;AT;F;ED5_8;28.9
2016;PL;M;ED0-2;15.2
2016;PL;M;ED3_4;64.5
2016;PL;M;ED5_8;20.3
2016;PL;F;ED0-2;14
2016;PL;F;ED3_4;55.9
2016;PL;F;ED5_8;30.1
2016;PT;M;ED0-2;56.7
2016;PT;M;ED3_4;26
2016;PT;M;ED5_8;17.2
2016;PT;F;ED0-2;49.3
2016;PT;F;ED3_4;25.3
2016;PT;F;ED5_8;25.4
2016;RO;M;ED0-2;26.3
2016;RO;M;ED3_4;59.5
2016;RO;M;ED5_8;14.2
2016;RO;F;ED0-2;29.8
2016;RO;F;ED3_4;54.2
2016;RO;F;ED5_8;16
2016;SI;M;ED0-2;16.4
2016;SI;M;ED3_4;62.2
2016;SI;M;ED5_8;21.4
2016;SI;F;ED0-2;18.1
2016;SI;F;ED3_4;48.7
2016;SI;F;ED5_8;33.2
2016;SK;M;ED0-2;13.4
2016;SK;M;ED3_4;69.8
2016;SK;M;ED5_8;16.8
