Year,Country,code,ISCED11,AVG
2010,Luxembourg,LU,5-8,30,25
2010,Hungary,HU,0-2,24,4
2010,Hungary,HU,3-4,58,55
2010,Hungary,HU,5-8,17,05
2010,Malta,MT,0-2,60,3
2010,Malta,MT,3-4,25,55
2010,Malta,MT,5-8,14,15
2010,Netherland,0-2,31,8
2010,Netherland,3-4,40,45
2010,Netherland,5-8,27,7
2010,Austria,AT,0-2,23,2
2010,Austria,AT,3-4,60,55
2010,Austria,AT,5-8,16,25
2010,Poland,PL,0-2,18,0
2010,Poland,PL,3-4,62,55
2010,Poland,PL,5-8,19,4
2010,Portugal,PT,0-2,67,4
2010,Portugal,PT,3-4,18,8
2010,Portugal,PT,5-8,13,85
2010,Romania,RO,0-2,30,6
2010,Romania,RO,3-4,57,5
2010,Romania,RO,5-8,11,9
2010,Slovenia,SI,0-2,20,95
2010,Slovenia,SI,3-4,58,7
2010,Slovenia,SI,5-8,20,35
2010,Slovakia,SK,0-2,16,25
2010,Slovakia,SK,3-4,68,7
2010,Slovakia,SK,5-8,15,05
2010,Finland,Fi,0-2,23,65
2010,Finland,Fi,3-4,44,8
2010,Finland,Fi,5-8,31,65
2010,Sweden,SE,0-2,25,0
2010,Sweden,SE,3-4,46,7
2010,Sweden,SE,5-8,28,3
2010,Switzerlan,0-2,21,35
2010,Switzerlan,3-4,49,95
2010,Switzerlan,5-8,28,75
2011,Belgium,BE,0-2,31,85
2011,Belgium,BE,3-4,37,7
2011,Belgium,BE,5-8,30,4
2011,Bulgaria,BG,0-2,24,0
2011,Bulgaria,BG,3-4,55,9
2011,Bulgaria,BG,5-8,20,1
2011,Czechia,CZ,0-2,13,9
2011,Czechia,CZ,3-4,70,2
2011,Czechia,CZ,5-8,15,85
2011,Denmark,DK,0-2,30,85
2011,Denmark,DK,3-4,41,3
2011,Denmark,DK,5-8,27,85
2011,Germany,DE,0-2,18,05
2011,Germany,DE,3-4,57,65
2011,Germany,DE,5-8,24,3
2011,Estonia,EE,0-2,17,75
2011,Estonia,EE,3-4,51,15
2011,Estonia,EE,5-8,31,15
2011,Ireland,IE,0-2,29,1
2011,Ireland,IE,3-4,36,5
2011,Ireland,IE,5-8,34,35
2011,Greece,EL,0-2,37,1
2011,Greece,EL,3-4,40,65
2011,Greece,EL,5-8,22,2
2011,Spain,ES,0-2,46,95
2011,Spain,ES,3-4,23,75
2011,Spain,ES,5-8,29,3
2011,France,FR,0-2,31,25
2011,France,FR,3-4,42,1
2011,France,FR,5-8,26,7
2011,Croatia,HR,0-2,24,65
2011,Croatia,HR,3-4,60,0
2011,Croatia,HR,5-8,15,35
2011,Italy,IT,0-2,45,5
2011,Italy,IT,3-4,41,4
2011,Italy,IT,5-8,13,15
2011,Cyprus,CY,0-2,28,35
2011,Cyprus,CY,3-4,38,05
2011,Cyprus,CY,5-8,33,6
2011,Liatvia,LV,0-2,19,7
2011,Liatvia,LV,3-4,56,95
2011,Liatvia,LV,5-8,23,4
2011,Lithuania,LT,0-2,15,9
2011,Lithuania,LT,3-4,56,4
2011,Lithuania,LT,5-8,27,65
2011,Luxembourg,LU,0-2,29,05
2011,Luxembourg,LU,3-4,39,25
2011,Luxembourg,LU,5-8,31,65
2011,Hungary,HU,0-2,24,25
2011,Hungary,HU,3-4,57,8
2011,Hungary,HU,5-8,18,0
2011,Malta,MT,0-2,58,9
2011,Malta,MT,3-4,26,05
